QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Marks
"What is the time complexity of searching for an element in a balanced Binary Search Tree (BST)?","O(1)","O(log n)","O(n)","O(n log n)","B",5
"Which HTTP status code indicates that a requested resource was not found on the server?","200 OK","401 Unauthorized","404 Not Found","500 Internal Server Error","C",5
"In SQL, which clause is used to filter records after an aggregate function or GROUP BY has been applied?","WHERE","HAVING","ORDER BY","FILTER BY","B",5
"Which data structure follows the Last-In, First-Out (LIFO) principle?","Queue","Stack","Linked List","Array","B",5
"What is the default port number for HTTP network protocol?","21","22","80","443","C",5
"Which Object-Oriented Programming principle allows a class to inherit properties and methods from another class?","Encapsulation","Abstraction","Inheritance","Polymorphism","C",5
"What does API stand for in software engineering?","Application Programming Interface","Automated Program Integration","Application Process Interaction","Advanced Protocol Interface","A",5
"Which sorting algorithm has a worst-case time complexity of O(n^2)?","Merge Sort","Quick Sort","Heap Sort","Radix Sort","B",5
"In Git, which command is used to record changes to the local repository with a descriptive message?","git push","git add","git commit","git checkout","C",5
"Which React hook is primarily used to declare state variables in modern functional components?","useEffect","useState","useRef","useMemo","B",5
